x,y,intensity
410,390,131
50,470,193
290,710,199
490,50,255
610,690,156
670,610,113
50,570,3
90,170,193
230,70,149
710,270,185
750,430,193
490,730,156
70,550,143
570,90,192
50,510,149
150,670,81
730,550,70
130,630,137
670,170,143
330,730,199
170,650,101
310,750,192
190,30,199
170,90,199
690,190,149
230,710,198
250,690,199
650,190,156
530,130,199
710,530,144
30,270,150
510,90,192
730,470,150
310,30,143
610,90,150
550,730,192
270,590,255
390,730,156
750,350,185
90,470,241
750,530,156
450,30,155
650,590,255
630,130,193
110,350,193
590,70,156
630,650,192
330,590,255
330,90,235
390,90,212
130,70,192
550,70,144
230,30,156
30,390,193
410,750,199
350,490,0
150,290,206
130,370,206
690,90,192
770,110,199
370,110,199
410,130,241
150,250,113
510,30,58
290,290,199
330,270,241
370,630,200
30,430,143
350,130,241
230,590,255
770,50,255
250,410,242
510,210,242
330,550,132
410,190,199
170,470,193
390,650,33
